EPISODE	TIME_STEPS_TAKEN	TOTAL_REWARD
121	1127.0	1979.1451008251843
122	3622.0	1995.5736498169324
123	1409.0	1989.707913318763
124	4284.0	2012.6508341855754
125	586.0	1998.3843258437196
126	1151.0	1989.9104825852824
127	2262.0	1992.6313777594294
128	3818.0	2010.8850639818352
129	9249.0	2083.2662133420167
130	3556.0	2097.9935512085963
131	836.0	2085.3736156965106
132	5470.0	2119.219879539545
133	2058.0	2118.6076807441495
134	1501.0	2112.431603936708
135	6072.0	2152.027287897341
136	9569.0	2226.1970150183674
137	2727.0	2231.205044868184
138	157.0	2210.462994419502
139	1902.0	2207.378364475307
140	2040.0	2205.7045808305543
141	1027.0	2193.9175350222486
142	4808.0	2220.058359672026
143	909.0	2206.947776075306
144	-43.0	2184.448298314553
145	-43.0	2162.1738153314077
146	-34.0	2140.2120771780933
147	4449.0	2163.299956406312
148	1940.0	2161.066956842249
149	10175.0	2241.2062872738265
150	6842.0	2287.2142244010884
151	524.0	2269.5820821570774
152	-28.0	2246.6062613355066
153	-41.0	2223.7301987221517
154	-42.0	2201.07289673493
155	-42.0	2178.6421677675808
156	-37.0	2156.485746089905
157	7657.0	2211.4908886290063
158	9805.0	2287.4259797427167
159	5896.0	2323.5117199452893
160	25242.0	2552.6966027458366
161	16253.0	2689.6996367183783
162	5974.0	2722.542640351194
163	25391.0	2949.2272139476822
164	1236.0	2932.0949418082055
165	2594.0	2928.7139923901236
166	59905.0	3498.4768524662227
167	13039.0	3593.8820839415603
168	42330.0	3981.2432631021447
169	8290.0	4024.330830471123
170	44030.0	4424.387522166412
171	16582.0	4545.963646944748
172	3826.0	4538.764010475301
173	4661.0	4539.986370370548
174	10231.0	4596.8965066668425
175	4908.0	4600.007541600174
176	24069.0	4794.697466184171
177	2874.0	4775.49049152233
178	1609.0	4743.825586607107
179	10172.0	4798.107330741036
180	22499.0	4975.116257433626
181	4903.0	4974.395094859289
182	53559.0	5460.241143910696
183	43934.0	5844.97873247159
184	18889.0	5975.418945146875
185	-24.0	5915.424755695406
186	-43.0	5855.840508138452
187	-43.0	5796.852103057066
188	-39.0	5738.4935820264955
189	-41.0	5680.6986462062305
190	-39.0	5623.501659744168
191	16820.0	5735.466643146726
192	12495.0	5803.061976715258
193	14626.0	5891.291356948106
194	33490.0	6167.278443378625
195	35847.0	6464.075658944838
196	7253.0	6471.964902355389
197	4769.0	6454.935253331835
198	4544.0	6435.825900798516
199	5932.0	6430.787641790531
200	7770.0	6444.179765372625
201	874.0	6388.477967718899
202	6907.0	6393.66318804171
203	3192.0	6361.646556161293
204	6972.0	6367.75009059968
205	15220.0	6456.272589693684
206	261.0	6394.319863796746
207	2640.0	6356.776665158778
